issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
HUM,KMI,18,True,18.01984237187688,15.4943,-0.27597114283992635,0.538383897849559,-1.0914466333693913
CL,ORCL,18,True,20.804518025102745,15.4943,0.27864056415462973,0.5424397258558439,1.1672568850653955
HON,UNH,19,True,29.504148265250898,15.4943,-0.27908055741923377,0.543110340635395,-1.1561923110932282
AEP,MSFT,18,True,38.60962367197949,15.4943,-0.2801473632798743,0.5447388039994194,-1.3203117825532198
ABBV,ORCL,20,True,18.910167261903137,15.4943,-0.2806017095108242,0.5454334332436948,-1.2153120016524128
INTC,JNJ,20,True,18.792487258835642,15.4943,0.2806023449213517,0.545434405145581,1.213241735467957
HUM,MSFT,18,True,26.594418939435705,15.4943,-0.2828584747263147,0.5488933025185749,-1.371317494126324
JNJ,SBUX,19,True,23.132951402222172,15.4943,0.2842855367129038,0.5510894675936165,1.2179655401018077
AXP,GS,19,True,31.698531286941375,15.4943,-0.28561372767920923,0.5531393285125751,-1.0940436031790863
CSCO,PEP,19,True,24.75177485363554,15.4943,-0.2858042002921528,0.5534337594311797,-1.360078420666376
MSFT,TAP,18,True,27.74657459757118,15.4943,-0.2899292306869065,0.5598391644456877,-1.3617329034940955
ABBV,HON,19,True,18.83435631891362,15.4943,-0.29015565439786756,0.5601923763908182,-1.22532959206664
PEP,TGT,19,True,17.31526198186796,15.4943,-0.2904174899445786,0.5606010412753581,-1.5034361277217356
JNJ,NSC,18,True,28.857140545179803,15.4943,-0.29068759856414866,0.5610228570203555,-1.2481341884654846
HON,MSFT,19,True,31.694474298289414,15.4943,-0.2909493865074057,0.561431910262341,-1.420362434153266
HON,SBUX,19,True,17.66975078858177,15.4943,-0.29128950569663836,0.5619636998914465,-1.2335544239129317
PEP,PG,19,True,23.02332676639703,15.4943,-0.2914876553109486,0.5622736924629163,-1.3970582434619898
JNJ,MCD,19,True,22.06406723190657,15.4943,0.2929310218202812,0.5645357161193767,1.2513638694483336
AEP,WFC,18,True,20.710292815786932,15.4943,-0.29300973535171376,0.5646592761811988,-1.2217803260462814
